,sorted_id,day_old,day1,day2,day3,day4,day5,diff,weight
0,143,95.007,94.2809079736678,97.61421876813412,95.76907428040263,95.97743284385813,97.65476813713941,2.6477681371394084,0.4550444079072791
1,168,99.99,100.02682168600657,100.11597630266779,100.60150788155424,101.38232924679502,101.22600165122309,1.2360016512230914,0.21241876570086468
2,147,101.74,102.16760886977043,101.63611261844851,101.54986107412527,101.71429205886963,102.09158002645857,0.3515800264585636,0.060422407358034926
3,146,101.3,101.57292524379642,101.57292524379642,101.57292524379642,101.57292524379642,101.57292524379642,0.272925243796422,0.0469048268329372
4,145,99.501,99.52519484147112,99.8022975419989,99.8022975419989,99.8022975419989,99.75691003929312,0.25591003929311285,0.043980600368381806
5,54,0.616,0.6220084951285836,0.6344868111024827,0.8690185091908127,0.8329992050796244,0.8343465306049134,0.21834653060491335,0.037524950294577135
6,83,1.129,1.0945843219651339,1.0787012619041896,1.2795999331863892,1.2308238094102826,1.2774167530074971,0.1484167530074969,0.025506845765121255
7,73,0.855,0.8671462704048425,0.8892915548124314,0.9590432006666306,0.922229135467238,0.9827493248575804,0.1277493248575805,0.021954949557319064
8,153,99.883,99.88229393060179,99.88229393060179,99.88229393060179,99.88229393060179,99.99019992320488,0.10719992320487393,0.01842333733767538
9,110,3.645,3.8688177164993576,3.8203855218818235,3.7421871092197128,3.7642622225501534,3.745057640885601,0.1000576408856011,0.017195867460878908
10,169,100.11,99.8904409825537,100.02003421146676,100.44519471494928,100.1317777657413,100.2080273440405,0.09802734404050284,0.016846941430387473
11,185,1.051,1.0845895452872052,1.0953737752923285,1.1550825423168325,1.152232179357079,1.1407486863725869,0.08974868637258715,0.015424174525716695
12,104,4.633,4.379765944900441,4.521254820823332,4.717874571573054,4.671026037534213,4.716382153847982,0.08338215384798175,0.014330024708576205
13,167,100.072,100.06051671748224,100.04429123691595,100.00320041818995,99.85611897058676,100.1535892721431,0.08158927214309131,0.014021900752250073
14,97,2.659,2.5864601820270083,2.6287828484476767,2.676537950388332,2.7593973015682467,2.7288942635329443,0.0,0.0
15,133,1.702,1.6590515465511924,1.6508098398368245,1.7168937111097735,1.7747306941257677,1.7697448668029008,0.0,0.0
16,135,2.185,2.2042742017129777,2.171579927065472,2.1715858033101,2.261239448359589,2.246013365250183,0.0,0.0
17,4,0.918,0.9288037465385802,0.9228283257849008,0.957467339230191,0.9697143513768716,0.972599404970276,0.0,0.0
18,101,3.32,3.4177334398349752,3.362062263959709,3.3323501276626915,3.3675508818735898,3.3675508818735898,0.0,0.0
19,199,2.145,2.12393425971087,2.1435680167113795,2.1752975229366767,2.177883067882478,2.190913170794587,0.0,0.0
20,26,0.753,0.782892189974889,0.7903371760858384,0.7964099417363342,0.7980730439940559,0.7980730439940559,0.0,0.0
21,175,1.773,1.7433539007719103,1.7298571516060306,1.7921803367118758,1.8054102065628597,1.81649637551631,0.0,0.0
22,75,0.7190000000000001,0.7262569599853759,0.7254811130170015,0.7179205678335662,0.7607947935635295,0.7606051193460394,0.0,0.0
23,98,1.766,1.657400396428276,1.655887025695277,1.7001466051827474,1.7775311895937829,1.806813098079152,0.0,0.0
24,124,1.35,1.3382844243039251,1.3435731337178884,1.3627739979854578,1.365271608205218,1.390115650053564,0.0,0.0
25,46,1.173,1.139169016373443,1.1614671157820342,1.1636648535973455,1.1213408944349121,1.2098657311402377,0.0,0.0
26,174,1.6969999999999998,1.6713934234716488,1.6905510341296304,1.7480120308095937,1.7540071016655383,1.7335826291566172,0.0,0.0
27,130,5.2189999999999985,5.100343811786397,5.1058774895249215,5.171059989487962,5.157731273321014,5.250287374741627,0.0,0.0
28,27,0.966,0.9337726458772104,0.9447594822561884,0.9598505294553744,1.001736052182047,0.9971650568223204,0.0,0.0
29,41,0.8740000000000001,0.9131520185171088,0.9131520185171088,0.9131520185171088,0.904462725005354,0.904462725005354,0.0,0.0
30,58,0.92,0.9005752652594562,0.8803824875583718,0.9335935345927856,0.9398432212324608,0.9495720679742772,0.0,0.0
31,200,1.475,1.466321172654954,1.4601338102162966,1.4062498227410374,1.4189488099498608,1.5038102543718743,0.0,0.0
32,139,2.801,2.662849389770306,2.660520181319717,2.684173540471261,2.756857652575416,2.828840038752021,0.0,0.0
33,6,1.086,1.0049483761806697,1.0568791434558509,1.1079040029512233,1.0944365176448645,1.113567901105902,0.0,0.0
34,201,1.682,1.6009765342591624,1.6221554318490112,1.6539928649645073,1.7161346364908692,1.709525517758527,0.0,0.0
35,107,3.129,2.9209209806046053,3.1060057830304535,3.110048956100482,3.0886129794065704,3.1553474413052767,0.0,0.0
36,122,0.6559999999999999,0.6229364430677852,0.6292588667286123,0.6341510825419202,0.6642042261326914,0.6808916649409706,0.0,0.0
37,140,1.199,1.17688700910078,1.1722218438869674,1.1326366967493595,1.2325586034869418,1.2199694093044142,0.0,0.0
38,120,0.86,0.8517777707214497,0.8876721755470148,0.8789456809387226,0.8743361711623158,0.8783655484239893,0.0,0.0
39,35,0.825,0.8049943363206532,0.7916527314058127,0.8429785210969785,0.8518338622455156,0.8420375327552164,0.0,0.0
40,216,1.858,1.8641269372009677,1.8641269372009677,1.8641269372009677,1.8745179957549452,1.8745179957549452,0.0,0.0
41,44,1.03,1.0317256249453908,1.0317256249453908,1.0501299217681317,1.0496809803027958,1.0463976989990942,0.0,0.0
42,211,0.7140000000000001,0.7097348250395645,0.7210324492767031,0.7295569466305245,0.7122543489293596,0.7295569466305245,0.0,0.0
