,day_old,day1,diff,stock_return
70,0.872,0.9127426147460938,0.04074261474609375,0.04672318204827265
124,1.3,1.3516055345535278,0.05160553455352779,0.03969656504117522
132,1.904,1.9795637130737305,0.07556371307373055,0.03968682409334588
81,1.04,1.0761306285858154,0.036130628585815394,0.03474098902482249
86,0.688,0.7055018544197083,0.017501854419708307,0.025438741889110914
30,0.897,0.916013777256012,0.019013777256011943,0.021197076093658798
63,0.6559999999999999,0.6692853569984436,0.013285356998443687,0.02025206859518855
0,0.956,0.9751327633857727,0.019132763385772744,0.020013350821938017
99,1.382,1.4078720808029175,0.025872080802917585,0.01872075311354384
19,1.02,1.039048433303833,0.01904843330383299,0.018674934611600972
120,0.794,0.8077501654624939,0.013750165462493857,0.017317588743695034
174,1.455,1.480089783668518,0.025089783668517995,0.0172438375728646
175,1.736,1.7659202814102173,0.029920281410217298,0.01723518514413439
201,1.668,1.6959689855575562,0.027968985557556225,0.01676797695297136
42,0.762,0.7742706537246704,0.0122706537246704,0.01610322011111601
104,3.919,3.979367256164551,0.06036725616455074,0.015403739771510779
90,0.879,0.8922004699707031,0.013200469970703121,0.015017599511607646
127,1.196,1.2131060361862183,0.01710603618621831,0.014302705841319657
140,1.117,1.132306694984436,0.015306694984436042,0.013703397479351873
76,0.978,0.9912934899330139,0.013293489933013936,0.01359252549387928
20,0.682,0.6909265518188477,0.008926551818847606,0.013088785658134318
60,0.68,0.6887984871864319,0.008798487186431836,0.0129389517447527
116,3.228,3.2639527320861816,0.03595273208618144,0.011137773260898834
37,0.732,0.7400349974632263,0.008034997463226334,0.01097677249074636
133,1.689,1.7065563201904297,0.01755632019042963,0.010394505737376927
101,3.215,3.247936487197876,0.03293648719787612,0.010244630543662868
95,2.501,2.5255613327026367,0.02456133270263683,0.009820604839119085
11,0.7440000000000001,0.7511609196662903,0.0071609196662901775,0.00962489202458357
123,1.13,1.140094518661499,0.01009451866149913,0.008933202355308966
2,0.5660000000000001,0.5709178447723389,0.004917844772338809,0.008688771682577399
178,1.267,1.2777655124664307,0.01076551246643076,0.00849685277539918
40,0.8059999999999999,0.812373161315918,0.00637316131591803,0.007907148034637755
113,0.986,0.993541955947876,0.007541955947875989,0.007649042543484776
198,0.634,0.6386317014694214,0.004631701469421379,0.007305522822431197
91,1.002,1.0092403888702393,0.007240388870239256,0.007225936996246763
50,0.812,0.8178490400314331,0.00584904003143305,0.007203251270237746
58,0.823,0.8289153575897217,0.005915357589721726,0.007187554787025183
7,0.884,0.8901752233505249,0.006175223350524894,0.006985546776611872
52,0.735,0.7399662733078003,0.004966273307800306,0.006756834432381369
192,2.1,2.1140685081481934,0.01406850814819327,0.006699289594377747
107,2.919,2.9360201358795166,0.017020135879516562,0.005830810510283166
1,0.965,0.970582902431488,0.005582902431488068,0.005785391120713025
193,0.898,0.9030688405036926,0.0050688405036926065,0.005644588534178849
196,0.701,0.7049148678779602,0.003914867877960249,0.005584690268131596
109,3.088,3.105224370956421,0.01722437095642082,0.005577840335628504
134,1.548,1.556580901145935,0.008580901145935016,0.005543217794531664
118,3.492,3.5088484287261963,0.016848428726196296,0.004824865041866064
94,1.027,1.0318496227264404,0.004849622726440517,0.0047221253422010875
18,1.011,1.0155930519104004,0.004593051910400492,0.0045430780518303585
97,2.516,2.527233839035034,0.011233839035034165,0.004464959870840288
176,0.8640000000000001,0.867376983165741,0.0033769831657408655,0.003908545330718594
61,0.799,0.8019903898239136,0.0029903898239135307,0.0037426656119067966
10,0.757,0.7598081827163696,0.0028081827163696227,0.003709620497185763
119,1.021,1.0247811079025269,0.003781107902526948,0.0037033378085474518
185,0.903,0.9063090682029724,0.0033090682029723872,0.003664527356558568
137,0.867,0.8701390027999878,0.0031390027999878,0.003620533794680277
126,4.494,4.509540557861328,0.015540557861328352,0.003458068059930653
6,0.8909999999999999,0.8939560651779175,0.0029560651779175773,0.0033176938023766304
39,1.1,1.1036207675933838,0.0036207675933837002,0.0032916069030760908
110,3.304,3.313629627227783,0.009629627227783377,0.0029145360858908527
117,1.375,1.3785381317138672,0.0035381317138671875,0.002573186700994318
168,99.995,100.25151824951172,0.2565182495117142,0.0025653107606551746
56,0.947,0.9492136836051941,0.002213683605194139,0.002337575084682301
145,99.7,99.92640686035156,0.22640686035155966,0.0022708812472573684
75,0.585,0.5863246917724609,0.001324691772460973,0.0022644303802751677
177,0.521,0.5221758484840393,0.001175848484039288,0.0022569068791541036
128,1.298,1.3009274005889893,0.002927400588989215,0.0022553163243368376
53,0.99,0.9922177791595459,0.0022177791595459073,0.0022401809692382904
125,1.269,1.2715049982070923,0.0025049982070923793,0.0019739938590168475
16,1.2009999999999998,1.2033419609069824,0.0023419609069825764,0.0019500090815841604
57,1.07,1.0720559358596802,0.0020559358596801136,0.0019214353828786107
96,4.72,4.728986740112305,0.008986740112304936,0.0019039703627764697
4,0.757,0.7584253549575806,0.0014253549575805602,0.001882899547662563
8,0.7559999999999999,0.7573539018630981,0.0013539018630982502,0.0017908754802886911
84,0.833,0.8344613313674927,0.001461331367492713,0.00175429936073555
93,0.847,0.8484235405921936,0.0014235405921936284,0.00168068546894171
121,3.235,3.2396578788757324,0.004657878875732546,0.001439838910581931
14,0.611,0.6117973327636719,0.0007973327636718874,0.0013049636066643003
112,0.927,0.9282004833221436,0.0012004833221435085,0.0012950197649876035
74,0.976,0.9771787524223328,0.001178752422332785,0.0012077381376360502
187,0.568,0.5686760544776917,0.000676054477691701,0.0011902367564994736
186,0.407,0.40747880935668945,0.0004788093566894802,0.0011764357658218187
17,0.759,0.7598687410354614,0.0008687410354614178,0.0011445863444814464
28,0.67,0.6707468628883362,0.0007468628883361417,0.0011147207288599128
190,0.853,0.8539440631866455,0.0009440631866455274,0.0011067563735586488
98,1.709,1.7107582092285156,0.0017582092285155504,0.001028794165310445
180,0.847,0.8477244973182678,0.0007244973182678471,0.0008553687346727829
46,1.094,1.0949207544326782,0.0009207544326781392,0.000841640249248756
131,4.3,4.30344820022583,0.0034482002258302558,0.0008019070292628502
44,1.047,1.0478205680847168,0.0008205680847168662,0.0007837326501593755
62,0.961,0.9617244601249695,0.0007244601249695171,0.000753860691955793
80,0.856,0.8566327095031738,0.000632709503173845,0.0007391466158572956
64,0.99,0.9907051920890808,0.0007051920890808194,0.0007123152414957772
179,0.865,0.865607500076294,0.0006075000762939542,0.0007023122269294268
184,0.846,0.8465132713317871,0.0005132713317871351,0.0006067037018760463
189,0.877,0.8774949908256531,0.0004949908256530744,0.0005644137122612023
138,0.78,0.7804166078567505,0.00041660785675046164,0.0005341126368595662
146,101.3,101.34719848632812,0.04719848632812784,0.0004659278018571357
38,0.816,0.8163745999336243,0.00037459993362432,0.0004590685461082353
9,0.74,0.7403315901756287,0.000331590175628671,0.0004480948319306365
143,96.0,96.03923797607422,0.03923797607421875,0.00040872891743977863
54,0.616,0.6162157654762268,0.00021576547622681463,0.00035026863023833547
71,0.968,0.9683070182800293,0.0003070182800293253,0.0003171676446583939
149,99.948,99.97697448730469,0.028974487304694208,0.00028989561876870183
33,0.877,0.8772402405738831,0.00024024057388305486,0.0002739345198210432
194,0.85,0.8502016663551331,0.00020166635513307885,0.000237254535450681
169,99.992,100.01235961914062,0.020359619140620566,0.00020361248040463801
51,0.87,0.8701733350753784,0.0001733350753784224,0.00019923571882577288
67,0.95,0.950125515460968,0.000125515460968062,0.00013212153786111789
105,0.493,0.493057519197464,5.7519197463995475e-05,0.00011667180012980827
153,99.883,99.89210510253906,0.009105102539066934,9.11576798761244e-05
115,1.147,1.1470887660980225,8.87660980224414e-05,7.738979775278239e-05
69,1.158,1.1580690145492554,6.90145492554528e-05,5.959805635185908e-05
68,0.985,0.9850407242774963,4.072427749635121e-05,4.1344444158732196e-05
170,99.991,99.9942398071289,0.003239807128906591,3.240098737792993e-05
15,0.951,0.9510068893432617,6.889343261762271e-06,7.244314681138035e-06
72,1.154,1.1540062427520752,6.242752075280578e-06,5.4096638433973816e-06
12,0.768,0.7680010199546814,1.0199546813804972e-06,1.3280659913808557e-06
171,99.995,99.99471282958984,-0.0002871704101607975,-2.871847693992674e-06
165,99.995,99.99375915527344,-0.0012408447265670475,-1.2409067719056427e-05
129,0.914,0.913983941078186,-1.6058921813999483e-05,-1.7569936339167924e-05
157,100.004,100.00138854980469,-0.0026114501953173885,-2.611345741487729e-05
159,99.999,99.99452209472656,-0.004477905273432725,-4.4779500529332546e-05
154,100.004,99.99857330322266,-0.0054266967773486385,-5.426479718159912e-05
152,100.003,99.99738311767578,-0.005616882324218864,-5.61671382280418e-05
160,100.005,99.99662017822266,-0.008379821777339203,-8.379402807198842e-05
150,100.006,99.9972915649414,-0.008708435058593977,-8.707912583838947e-05
155,100.009,99.99981689453125,-0.009183105468750341,-9.182279063634614e-05
162,100.003,99.99375915527344,-0.009240844726562614,-9.240567509537327e-05
158,100.01,100.0000991821289,-0.009900817871098866,-9.899827888310035e-05
156,100.008,99.99776458740234,-0.010235412597651816,-0.00010234593830145405
144,103.183,103.17218017578125,-0.010819824218756935,-0.00010486053147085212
148,100.007,99.9961929321289,-0.010807067871098752,-0.000108063114292987
183,1.435,1.4348145723342896,-0.0001854276657105025,-0.0001292178855125453
151,100.023,100.00930786132812,-0.013692138671871135,-0.00013688990204124187
49,0.828,0.8278849124908447,-0.00011508750915523169,-0.00013899457627443443
32,0.994,0.9938552379608154,-0.00014476203918456498,-0.00014563585431042755
164,100.016,99.99967193603516,-0.016328063964849093,-0.00016325451892546284
202,0.631,0.6308950781822205,-0.00010492181777954634,-0.00016627863356504966
31,0.992,0.9918332695960999,-0.00016673040390013938,-0.00016807500393159212
48,0.828,0.827853798866272,-0.0001462011337279856,-0.00017657141754587633
172,100.025,100.00596618652344,-0.019033813476568184,-0.00019029056212515054
161,100.03,100.00782775878906,-0.022172241210938637,-0.00022165591533478593
35,0.7879999999999999,0.7878110408782959,-0.0001889591217040243,-0.00023979583972591917
21,1.012,1.011757254600525,-0.00024274539947510831,-0.00023986699552876314
141,114.296,114.26612854003906,-0.02987145996094398,-0.00026135175300048976
167,100.018,99.99061584472656,-0.027384155273438182,-0.0002737922701257592
92,0.76,0.7597711682319641,-0.00022883176803589755,-0.000301094431626181
25,0.496,0.4958408772945404,-0.00015912270545959117,-0.00032081190616853057
136,2.688,2.687018394470215,-0.0009816055297853232,-0.0003651806286403732
197,0.6940000000000001,0.6936834454536438,-0.00031655454635626246,-0.00045613047025398046
43,1.001,1.0004664659500122,-0.0005335340499876828,-0.0005330010489387442
111,5.769,5.765809059143066,-0.0031909408569337216,-0.0005531185399434428
188,0.662,0.6615618467330933,-0.00043815326690677114,-0.0006618629409467842
166,100.0,99.93183898925781,-0.0681610107421875,-0.000681610107421875
163,103.14,103.06243133544922,-0.07756866455078182,-0.0007520715973509969
26,0.687,0.6864502429962158,-0.0005497570037842348,-0.0008002285353482311
85,0.979,0.9780799150466919,-0.0009200849533080868,-0.0009398211984760846
83,1.129,1.1278772354125977,-0.0011227645874023473,-0.000994477048186313
108,2.833,2.8301024436950684,-0.0028975563049318254,-0.00102278725906524
3,0.688,0.6871607303619385,-0.0008392696380614684,-0.0012198686599730645
130,4.4,4.394557952880859,-0.00544204711914098,-0.0012368288907138592
200,1.259,1.2573760747909546,-0.0016239252090453071,-0.001289853224023278
142,93.4,93.26094055175781,-0.13905944824219318,-0.0014888591888885779
195,0.967,0.9655462503433228,-0.0014537496566772168,-0.0015033605549919513
139,2.625,2.620995044708252,-0.004004955291748047,-0.001525697253999256
13,1.294,1.2918277978897095,-0.0021722021102905664,-0.0016786724190808087
191,0.59,0.5888802409172058,-0.0011197590827941584,-0.0018978967504985737
45,1.01,1.008042812347412,-0.0019571876525878995,-0.0019378095570177223
23,0.8490000000000001,0.8469313383102417,-0.0020686616897583887,-0.0024365862070181254
27,0.935,0.9326727390289307,-0.0023272609710693892,-0.0024890491669191327
82,1.05,1.0472612380981445,-0.002738761901855513,-0.002608344668433822
24,0.514,0.5126379728317261,-0.0013620271682739382,-0.002649858304034899
59,0.961,0.9584184885025024,-0.002581511497497524,-0.0026862762721098065
88,0.963,0.9602078199386597,-0.002792180061340299,-0.0028994600844655235
182,0.967,0.9641632437705994,-0.0028367562294006055,-0.0029335638359882167
135,2.188,2.180562973022461,-0.0074370269775392295,-0.0033990068453104336
73,0.815,0.8122172355651855,-0.0027827644348144,-0.003414434889342822
103,3.202,3.191028118133545,-0.010971881866455035,-0.0034265714760946396
29,0.6709999999999999,0.668616533279419,-0.0023834667205809845,-0.003552111357050648
102,2.675,2.6653902530670166,-0.00960974693298322,-0.0035924287599937276
41,0.778,0.7751791477203369,-0.002820852279663111,-0.003625774138384461
78,0.711,0.7083134651184082,-0.0026865348815917622,-0.0037785300725622535
147,102.899,102.47683715820312,-0.4221628417968759,-0.004102691394443832
34,0.878,0.8737361431121826,-0.0042638568878173855,-0.004856329029404767
65,0.955,0.9495336413383484,-0.005466358661651571,-0.005723935771362902
36,0.7390000000000001,0.7344069480895996,-0.004593051910400492,-0.006215225859811219
22,0.71,0.705477237701416,-0.004522762298583949,-0.006370087744484435
100,1.48,1.4700878858566284,-0.009912114143371564,-0.006697374421197003
122,0.61,0.6052331924438477,-0.00476680755615233,-0.007814438616643165
114,1.6,1.585112452507019,-0.014887547492981046,-0.009304717183113154
87,1.065,1.0536723136901855,-0.0113276863098144,-0.010636325173534649
106,1.5219999999999998,1.504477620124817,-0.017522379875182903,-0.0115127331637207
77,1.07,1.054721474647522,-0.01527852535247809,-0.014278995656521578
89,1.135,1.1183439493179321,-0.01665605068206788,-0.01467493452164571
173,0.6920000000000001,0.6804634928703308,-0.011536507129669249,-0.01667125307755672
47,1.01,0.9901110529899597,-0.019888947010040292,-0.019692026742614152
181,0.726,0.7113422155380249,-0.014657784461975076,-0.020189785760296248
79,1.01,0.987581193447113,-0.022418806552886972,-0.02219683817117522
5,0.7859999999999999,0.7665892243385315,-0.019410775661468427,-0.024695643335201564
55,1.007,0.9811088442802429,-0.025891155719756975,-0.02571117747741507
66,1.033,1.0012285709381104,-0.03177142906188957,-0.030756465693987968
199,2.09,2.0238537788391113,-0.06614622116088853,-0.03164890964635815
