,day_old,day1,diff
168,99.97399999999999,100.2145767211914,0.2405767211914167
166,100.0,100.0780029296875,0.0780029296875
144,104.587,104.64649963378906,0.0594996337890592
149,99.931,99.97354888916016,0.042548889160158865
108,2.8080000000000003,2.8463335037231445,0.03833350372314426
40,0.78,0.8135940432548523,0.03359404325485227
130,4.285,4.312190532684326,0.02719053268432603
70,0.852,0.8790425658226013,0.02704256582260134
124,1.287,1.3102480173110962,0.02324801731109627
47,1.03,1.0491243600845337,0.019124360084533665
103,3.216,3.2339675426483154,0.017967542648315238
109,3.0980000000000003,3.115015983581543,0.01701598358154266
97,2.474,2.4883882999420166,0.014388299942016403
87,1.1,1.113705039024353,0.013705039024352939
4,0.8059999999999999,0.8177993297576904,0.011799329757690491
101,3.147,3.157970428466797,0.010970428466797078
1,0.9520000000000001,0.9629697203636169,0.010969720363616875
74,0.9740000000000001,0.9848172664642334,0.01081726646423331
58,0.828,0.8373035192489624,0.009303519248962444
187,0.5870000000000001,0.5950475335121155,0.008047533512115401
215,2.4930000000000003,2.5010311603546143,0.008031160354613931
153,99.883,99.89048767089844,0.007487670898441934
94,0.9840000000000001,0.9913870096206665,0.007387009620666407
73,0.736,0.7427763938903809,0.006776393890380872
0,0.9359999999999999,0.9426852464675903,0.006685246467590389
214,1.15,1.1566625833511353,0.006662583351135343
141,114.755,114.76160430908203,0.0066043090820357975
42,0.797,0.8035585284233093,0.006558528423309284
5,0.807,0.813281774520874,0.006281774520873973
6,0.99,0.9961934089660645,0.006193408966064462
57,1.1320000000000001,1.1381916999816895,0.006191699981689336
88,0.965,0.9705750942230225,0.005575094223022492
120,0.794,0.7992639541625977,0.005263954162597617
138,0.792,0.7972060441970825,0.005206044197082482
218,2.471,2.4757487773895264,0.004748777389526282
10,0.768,0.7727100849151611,0.004710084915161117
195,0.945,0.9496604800224304,0.004660480022430469
34,0.845,0.8486019968986511,0.0036019968986511497
196,0.7120000000000001,0.7154678106307983,0.0034678106307982626
167,99.999,100.00238800048828,0.003388000488286025
19,1.075,1.0783226490020752,0.0033226490020752397
203,0.6409999999999999,0.6437240242958069,0.0027240242958069816
9,0.78,0.7825281023979187,0.0025281023979186745
112,0.948,0.9504196643829346,0.0024196643829346165
62,0.965,0.9674155712127686,0.0024155712127685858
60,0.684,0.6862902045249939,0.002290204524993844
188,0.655,0.6571203470230103,0.0021203470230102273
77,1.141,1.1430696249008179,0.002069624900817857
11,0.7909999999999999,0.7930089831352234,0.0020089831352234633
182,0.988,0.9899663925170898,0.0019663925170898544
133,1.6440000000000001,1.645874261856079,0.0018742618560789737
99,1.421,1.4227564334869385,0.0017564334869384357
110,3.338,3.3397514820098877,0.0017514820098876172
48,0.8490000000000001,0.8507040143013,0.001704014301299961
202,0.653,0.654503345489502,0.0015033454895019283
54,0.614,0.6154080629348755,0.001408062934875498
210,0.738,0.7393509149551392,0.0013509149551391708
76,0.9359999999999999,0.9372428059577942,0.0012428059577942463
115,1.186,1.1872354745864868,0.0012354745864868732
186,0.428,0.4290643036365509,0.0010643036365509118
56,0.951,0.9518387317657471,0.0008387317657471138
38,0.799,0.799592912197113,0.0005929121971129936
43,0.9940000000000001,0.9945328831672668,0.00053288316726674
53,1.0,1.0003756284713745,0.0003756284713745117
91,1.011,1.0113136768341064,0.00031367683410654656
59,0.966,0.966292142868042,0.0002921428680420224
75,0.775,0.7752422094345093,0.00024220943450925514
93,0.929,0.929219126701355,0.0002191267013549325
21,1.012,1.0121482610702515,0.00014826107025145419
181,0.7490000000000001,0.7490649223327637,6.492233276356174e-05
190,0.848,0.8480584621429443,5.846214294435992e-05
67,0.95,0.9500487446784973,4.874467849735886e-05
68,0.985,0.9850392937660217,3.929376602174184e-05
15,0.951,0.951022744178772,2.2744178772016177e-05
41,0.8009999999999999,0.8009857535362244,-1.424646377556904e-05
177,0.557,0.5569806694984436,-1.933050155644711e-05
69,1.158,1.1579705476760864,-2.9452323913492506e-05
157,100.001,100.00077056884766,-0.00022943115234852485
127,1.2409999999999999,1.240743637084961,-0.0002563629150389435
183,1.435,1.4347376823425293,-0.0002623176574707564
206,0.7120000000000001,0.7116968631744385,-0.0003031368255616007
44,1.072,1.0716934204101562,-0.00030657958984381395
22,0.76,0.7596527934074402,-0.00034720659255982333
12,0.7709999999999999,0.7706380486488342,-0.0003619513511656791
219,0.941,0.9406219720840454,-0.00037802791595453744
23,0.85,0.8495939373970032,-0.00040606260299680397
32,1.02,1.0194830894470215,-0.0005169105529785334
7,0.996,0.9954648613929749,-0.0005351386070251429
197,0.722,0.7213829755783081,-0.0006170244216918697
20,0.708,0.7073717713356018,-0.0006282286643981561
128,1.238,1.237347960472107,-0.0006520395278930557
131,4.477,4.476254463195801,-0.0007455368041995314
205,0.873,0.8722442388534546,-0.0007557611465454084
193,0.929,0.9282317757606506,-0.0007682242393494132
180,0.846,0.845186173915863,-0.0008138260841369371
33,0.856,0.8551583886146545,-0.0008416113853454421
211,0.68,0.679144561290741,-0.000855438709259082
137,0.853,0.8521443009376526,-0.0008556990623473926
72,1.1540000000000001,1.1531203985214233,-0.0008796014785767969
113,0.958,0.9571143984794617,-0.0008856015205382928
82,1.0490000000000002,1.0481030941009521,-0.0008969058990480061
85,0.985,0.9840288758277893,-0.00097112417221068
189,0.8809999999999999,0.8799865245819092,-0.0010134754180907146
118,3.335,3.3339474201202393,-0.0010525798797607067
31,1.021,1.0198978185653687,-0.0011021814346312553
51,0.887,0.8858630657196045,-0.0011369342803955185
45,0.9940000000000001,0.9927991032600403,-0.0012008967399598225
