,day_old,day1,diff,stock_return
199,1.806,1.8742461204528809,0.06824612045288081,0.037788549530941754
43,0.965,0.9835724234580994,0.018572423458099396,0.019246034671605593
47,0.981,0.9938305616378784,0.012830561637878435,0.013079063851048353
70,0.8809999999999999,0.8918678760528564,0.010867876052856551,0.012335841149666914
76,0.965,0.9757269620895386,0.010726962089538605,0.01111602289071358
44,1.042,1.0527173280715942,0.010717328071594201,0.010285343638766027
206,0.7,0.7071007490158081,0.00710074901580815,0.010143927165440214
106,1.541,1.5546271800994873,0.01362718009948738,0.008843075989284478
37,0.763,0.7694638967514038,0.006463896751403797,0.008471686436964347
45,0.992,1.0002349615097046,0.008234961509704597,0.00830137248962157
135,2.075,2.0903501510620117,0.015350151062011541,0.0073976631624152
203,0.645,0.6492249965667725,0.004224996566772443,0.0065503822740658035
93,0.863,0.8685913681983948,0.005591368198394786,0.006478989801152707
145,100.5,101.13044738769531,0.6304473876953125,0.006273108335276742
73,0.816,0.8206838965415955,0.004683896541595511,0.005740069291170971
12,0.78,0.7837368249893188,0.003736824989318821,0.004790801268357463
62,0.958,0.9623475074768066,0.004347507476806678,0.00453810801336814
65,0.955,0.9571797847747803,0.0021797847747803134,0.0022824971463668202
13,1.2670000000000001,1.2697550058364868,0.0027550058364866903,0.0021744323887029912
55,1.047,1.049196481704712,0.0021964817047119833,0.002097881284347644
56,0.95,0.9514418840408325,0.001441884040832564,0.0015177726745605937
54,0.616,0.6168146729469299,0.0008146729469299396,0.0013225210177434084
9,0.78,0.7810063362121582,0.0010063362121581765,0.001290174630972021
123,1.13,1.1313108205795288,0.0013108205795289152,0.0011600182119724915
83,1.129,1.1300534009933472,0.0010534009933471644,0.0009330389666493928
147,102.8,102.89415740966797,0.09415740966797159,0.0009159281096106186
202,0.66,0.6605154275894165,0.0005154275894164728,0.0007809508930552618
141,114.171,114.25811767578125,0.08711767578124352,0.0007630455700768454
52,0.789,0.7894954085350037,0.0004954085350036275,0.0006278942141997813
130,4.388999999999999,4.391587734222412,0.002587734222412763,0.0005895954026914476
21,1.012,1.0125203132629395,0.0005203132629394425,0.0005141435404539945
143,96.0,96.03992462158203,0.03992462158203125,0.0004158814748128255
59,0.9640000000000001,0.9643822908401489,0.00038229084014884673,0.00039656726156519367
80,0.856,0.8563131093978882,0.00031310939788820047,0.0003657820068787389
149,99.95100000000001,99.97373962402344,0.022739624023429883,0.00022750771901661695
172,99.98100000000001,100.00320434570312,0.022204345703116246,0.00022208565330529044
26,0.687,0.6871488690376282,0.00014886903762811876,0.00021669437791574782
151,99.992,100.00505828857422,0.013058288574214316,0.00013059333320879985
67,0.95,0.9501141905784607,0.00011419057846073777,0.00012020060890603976
68,0.985,0.9851126670837402,0.0001126670837402477,0.00011438282613223116
156,99.988,99.99776458740234,0.009764587402344205,9.76575929345942e-05
153,99.883,99.8919677734375,0.008967773437504434,8.9782780227911e-05
157,99.993,100.00129699707031,0.008296997070317502,8.297577900770556e-05
170,99.986,99.99409484863281,0.008094848632808294,8.095982070298135e-05
150,99.99,99.9972915649414,0.007291564941411366,7.292294170828449e-05
41,0.778,0.7780526876449585,5.2687644958471225e-05,6.7721908686981e-05
166,99.991,99.99776458740234,0.006764587402344091,6.765196270008392e-05
158,99.99,99.99652862548828,0.006528625488286366,6.529278416127978e-05
171,99.98700000000001,99.99352264404297,0.006522644042959769,6.523492096932369e-05
159,99.98899999999999,99.99462127685547,0.005621276855478641,5.6218952639576764e-05
128,1.296,1.2960706949234009,7.069492340083805e-05,5.454855200681948e-05
161,100.00299999999999,100.00825500488281,0.005255004882826597,5.2548472374094754e-05
87,1.0979999999999999,1.0980286598205566,2.8659820556775628e-05,2.6101840215642653e-05
160,99.99600000000001,99.99848175048828,0.0024817504882719277,2.481849762262418e-05
15,0.951,0.9510148167610168,1.4816761016889224e-05,1.55801903437321e-05
155,99.999,99.99996185302734,0.0009618530273485248,9.618626459749847e-06
148,99.99600000000001,99.99662017822266,0.0006201782226469277,6.202030307681584e-06
220,2.7089999999999996,2.7090024948120117,2.4948120120882322e-06,9.209346666992368e-07
164,100.0,99.99971771240234,-0.00028228759765625,-2.8228759765625e-06
154,99.99700000000001,99.99604797363281,-0.0009520263672015972,-9.520549288494625e-06
152,99.99799999999999,99.99691009521484,-0.0010899047851467003,-1.089926583678374e-05
162,99.995,99.99375915527344,-0.0012408447265670475,-1.2409067719056427e-05
88,0.961,0.9609638452529907,-3.6154747009242705e-05,-3.762200521253143e-05
165,99.999,99.99361419677734,-0.005385803222651475,-5.385857081222288e-05
53,0.993,0.9928863644599915,-0.0001136355400085387,-0.00011443659618181138
183,1.435,1.434805154800415,-0.00019484519958501423,-0.00013578062688851165
169,100.02600000000001,100.00873565673828,-0.01726434326172921,-0.00017259855699247402
144,103.42,103.40184020996094,-0.018159790039064205,-0.0001755926323638001
69,1.158,1.1577317714691162,-0.00026822853088370735,-0.00023163085568541223
167,100.02,99.99142456054688,-0.02857543945312102,-0.0002856972550801942
146,101.3,101.2619857788086,-0.03801422119140341,-0.0003752637827384344
163,103.164,103.11296844482422,-0.05103155517578273,-0.0004946643710575659
213,1.028,1.0274004936218262,-0.000599506378173853,-0.0005831774106749543
181,0.728,0.7274525165557861,-0.0005474834442138476,-0.0007520376980959445
79,1.0190000000000001,1.0178829431533813,-0.0011170568466187802,-0.0010962285050233366
142,93.52,93.41136932373047,-0.10863067626952727,-0.0011615769489898126
72,1.1540000000000001,1.1526048183441162,-0.0013951816558839258,-0.001208996235601322
