,Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
0,2018-09-19,69773932.7,0.989,885.0,873.0,0.0013,1.014,1.0079,0.992,-0.0114,-3.3078,41.5197,False,False,-22.4178,1.0
1,2018-09-20,69773932.7,1.0,24000.0,23962.0,0.0344,1.011,1.009,0.9968,-0.0113,-1.6716,40.8811,False,False,-22.6473,1.0
2,2018-09-21,69773932.7,1.001,300.0,300.0,0.0004,1.037,1.0055,1.0018,-0.011,-1.1358,37.058,False,False,-20.658,1.0
3,2018-09-25,69773932.7,1.001,0.0,0.0,0.0,1.026,1.006,1.0068,-0.0107,-0.6944,37.1431,False,False,-21.4996,1.0
4,2018-09-26,69773932.7,1.003,100.0,100.0,0.0001,1.031,1.0059,0.9988,-0.0101,-0.0664,38.1949,False,False,-21.1171,1.0
5,2018-09-27,69773932.7,1.043,400.0,417.0,0.0006,1.033,1.01,1.0096,-0.0064,3.9103,58.7966,False,False,-20.964,1.0
6,2018-09-28,69773932.7,1.018,504.0,513.0,0.0007,1.035,1.0116,1.0132,-0.0053,1.783,60.0933,False,False,-20.811,1.0
7,2018-10-08,69773932.7,1.002,8700.0,8616.0,0.0125,1.013,1.0118,1.0134,-0.0058,-0.0333,50.2317,False,False,-22.4943,1.0
8,2018-10-09,69773932.7,0.999,58874.0,58452.0,0.0844,1.012,1.0085,1.013,-0.0063,-0.5228,41.9624,False,False,-22.5708,1.0
9,2018-10-10,69773932.7,1.009,1600.0,1596.0,0.0023,1.012,1.0089,1.0142,-0.0058,0.1986,47.3165,False,False,-22.5708,1.0
10,2018-10-11,69773932.7,0.957,1000.0,956.0,0.0014,0.984,1.0024,0.997,-0.0095,-4.8156,32.3019,False,False,-24.7131,1.0
11,2018-10-12,69773932.7,0.957,0.0,0.0,0.0,0.988,0.9933,0.9848,-0.0123,-4.1322,22.2922,False,False,-24.407,1.0
12,2018-10-15,69773932.7,0.999,200.0,200.0,0.0003,0.986,0.9921,0.9842,-0.011,-0.0083,31.5281,False,False,-24.5601,1.0
13,2018-10-16,69773932.7,0.999,0.0,0.0,0.0,0.98,0.9947,0.9842,-0.0099,0.0,37.6854,False,False,-25.0191,1.0
14,2018-10-17,69773932.7,0.999,0.0,0.0,0.0,0.978,0.9975,0.9822,-0.0089,0.0167,48.404,False,False,-25.1721,1.0
15,2018-10-18,69773932.7,0.984,100.0,98.0,0.0001,0.976,0.9942,0.9876,-0.0092,-1.3451,49.2284,False,False,-25.3252,1.0
16,2018-10-19,69773932.7,0.984,0.0,0.0,0.0,0.976,0.9929,0.993,-0.0093,-1.1883,50.7202,False,False,-25.3252,1.0
0,2018-09-19,358517195.18,1.02,289000.0,289093.0,0.0806,1.021,1.007,0.9972,-0.0138,0.7573,36.9846,False,True,-17.926,2.0
1,2018-09-20,358517195.18,1.014,99700.0,103357.0,0.0278,1.019,1.0099,1.0004,-0.0124,0.3629,46.8786,False,False,-18.0868,2.0
2,2018-09-21,358517195.18,1.035,120400.0,121638.0,0.0336,1.043,1.0151,1.009,-0.0095,2.4161,63.6196,False,False,-16.1576,2.0
3,2018-09-25,358517195.18,1.037,148900.0,153715.0,0.0415,1.039,1.0186,1.0202,-0.0069,2.6309,75.7464,False,False,-16.4791,2.0
4,2018-09-26,358517195.18,1.045,52500.0,54215.0,0.0146,1.049,1.0242,1.0302,-0.0042,3.4056,82.987,False,False,-15.6752,2.0
5,2018-09-27,358517195.18,1.027,49922.0,52310.0,0.0139,1.043,1.0252,1.0316,-0.0035,1.4655,78.7374,False,False,-16.1576,2.0
6,2018-09-28,358517195.18,1.046,152622.0,158056.0,0.0426,1.056,1.0283,1.038,-0.0013,2.9612,83.444,False,False,-15.1125,2.0
7,2018-10-08,358517195.18,1.011,107132.0,111902.0,0.0299,1.012,1.0253,1.0332,-0.0024,-0.5655,65.5251,False,False,-18.6495,2.0
8,2018-10-09,358517195.18,1.008,95900.0,96417.0,0.0267,1.005,1.0224,1.0274,-0.0035,-0.9418,51.6199,False,False,-19.2122,2.0
9,2018-10-10,358517195.18,1.005,163417.0,164176.0,0.0456,0.999,1.0175,1.0194,-0.0045,-1.3416,36.2651,False,False,-19.6945,2.0
10,2018-10-11,358517195.18,0.961,212288.0,204752.0,0.0592,0.957,1.0086,1.0062,-0.0088,-5.5064,27.0614,False,True,-23.0707,2.0
11,2018-10-12,358517195.18,0.955,109340.0,109064.0,0.0305,0.971,0.9995,0.988,-0.0125,-5.7876,21.8421,False,True,-21.9453,2.0
12,2018-10-15,358517195.18,0.954,100962.0,96410.0,0.0282,0.963,0.9894,0.9766,-0.0154,-5.3728,18.0702,False,True,-22.5884,2.0
13,2018-10-16,358517195.18,0.955,119600.0,120198.0,0.0334,0.951,0.9844,0.966,-0.0174,-4.8094,15.8479,False,True,-23.5531,2.0
14,2018-10-17,358517195.18,0.96,103200.0,98763.0,0.0288,0.956,0.9805,0.957,-0.0183,-3.7111,15.8285,False,False,-23.1511,2.0
15,2018-10-18,358517195.18,0.97,102700.0,104205.0,0.0286,0.936,0.9783,0.9588,-0.0181,-2.1602,18.7394,False,False,-24.7588,2.0
16,2018-10-19,358517195.18,0.968,300996.0,277590.0,0.084,0.936,0.9773,0.9614,-0.0178,-1.7259,30.7538,False,True,-24.7588,2.0
0,2018-09-19,3176499.27,0.616,7100.0,4414.0,0.2235,0.624,0.6141,0.6116,-0.0079,-0.1081,32.2741,False,True,-45.0704,3.0
1,2018-09-20,3176499.27,0.626,1400.0,870.0,0.0441,0.621,0.6164,0.6132,-0.0065,1.4998,54.8494,False,False,-45.3345,3.0
2,2018-09-21,3176499.27,0.622,1100.0,680.0,0.0346,0.629,0.6176,0.616,-0.0056,0.8921,64.5663,False,False,-44.6303,3.0
3,2018-09-25,3176499.27,0.622,0.0,0.0,0.0,0.626,0.6189,0.6194,-0.0048,0.8104,71.0442,False,False,-44.8944,3.0
4,2018-09-26,3176499.27,0.629,5900.0,3688.0,0.1857,0.633,0.6203,0.623,-0.0036,1.9311,80.6961,False,False,-44.2782,3.0
5,2018-09-27,3176499.27,0.616,31600.0,19475.0,0.9948,0.622,0.62,0.623,-0.0037,-0.1756,69.9264,False,False,-45.2465,3.0
6,2018-09-28,3176499.27,0.626,500.0,313.0,0.0157,0.632,0.6211,0.623,-0.0029,1.3082,73.4993,False,False,-44.3662,3.0
7,2018-10-08,3176499.27,0.616,1100.0,680.0,0.0346,0.613,0.6196,0.6218,-0.003,-0.3102,58.0905,False,False,-46.0387,3.0
8,2018-10-09,3176499.27,0.617,14200.0,8659.0,0.447,0.61,0.6193,0.6208,-0.003,-0.1349,53.5418,False,False,-46.3028,3.0
9,2018-10-10,3176499.27,0.611,15600.0,9458.0,0.4911,0.606,0.6175,0.6172,-0.0034,-1.146,51.0791,False,True,-46.6549,3.0
10,2018-10-11,3176499.27,0.576,69200.0,40614.0,2.1785,0.564,0.6108,0.6092,-0.0065,-6.4429,34.0528,False,True,-50.3521,3.0
11,2018-10-12,3176499.27,0.572,2700.0,1546.0,0.085,0.565,0.604,0.5984,-0.0092,-6.5995,27.0497,False,True,-50.2641,3.0
12,2018-10-15,3176499.27,0.571,15500.0,8848.0,0.488,0.558,0.597,0.5894,-0.0113,-6.1884,21.8978,False,True,-50.8803,3.0
13,2018-10-16,3176499.27,0.556,7000.0,3953.0,0.2204,0.549,0.5907,0.5772,-0.014,-7.7689,15.8644,False,True,-51.6725,3.0
14,2018-10-17,3176499.27,0.556,3500.0,1939.0,0.1102,0.554,0.5847,0.5662,-0.0159,-6.9196,12.3781,False,True,-51.2324,3.0
15,2018-10-18,3176499.27,0.552,1200.0,662.0,0.0378,0.541,0.5786,0.5614,-0.0176,-6.6779,10.3617,False,True,-52.3768,3.0
16,2018-10-19,3176499.27,0.551,2600.0,1419.0,0.0819,0.541,0.5747,0.5572,-0.0187,-5.812,13.0673,False,True,-52.3768,3.0
0,2018-09-19,408716495.14,0.771,301800.0,232955.0,0.0738,0.7728,0.7817,0.7628,-0.0282,-2.271,23.9759,False,True,-29.8411,4.0
1,2018-09-20,408716495.14,0.768,51000.0,39042.0,0.0125,0.7679,0.7808,0.7616,-0.0275,-2.1033,29.9479,False,True,-30.286,4.0
2,2018-09-21,408716495.14,0.786,411200.0,321320.0,0.1006,0.7915,0.7825,0.7666,-0.0253,0.4687,42.6505,False,False,-28.1434,4.0
3,2018-09-25,408716495.14,0.79,166059.0,130286.0,0.0406,0.7916,0.7847,0.7754,-0.0229,1.0984,52.9707,False,False,-28.1344,4.0
4,2018-09-26,408716495.14,0.799,240284.0,190956.0,0.0588,0.8019,0.7891,0.7828,-0.02,2.4031,65.2655,False,False,-27.1993,4.0
5,2018-09-27,408716495.14,0.803,222875.0,179723.0,0.0545,0.8049,0.7918,0.7892,-0.0172,2.9377,71.0103,False,False,-26.9269,4.0
6,2018-09-28,408716495.14,0.81,95600.0,77120.0,0.0234,0.8105,0.795,0.7976,-0.0143,3.7796,77.7569,False,False,-26.4185,4.0
7,2018-10-08,408716495.14,0.774,213955.0,166737.0,0.0523,0.7688,0.7918,0.7952,-0.0147,-0.5993,67.2546,False,False,-30.2043,4.0
8,2018-10-09,408716495.14,0.767,279900.0,216940.0,0.0685,0.7623,0.7869,0.7906,-0.0154,-1.4244,50.8473,False,False,-30.7944,4.0
9,2018-10-10,408716495.14,0.758,218200.0,166168.0,0.0534,0.7549,0.7802,0.7824,-0.0165,-2.5498,33.8982,False,False,-31.4662,4.0
10,2018-10-11,408716495.14,0.724,448269.0,324993.0,0.1097,0.7108,0.7713,0.7666,-0.0199,-6.701,29.4364,False,True,-35.4698,4.0
11,2018-10-12,408716495.14,0.722,443600.0,319287.0,0.1085,0.7182,0.7623,0.749,-0.0225,-6.5574,25.8921,False,True,-34.798,4.0
12,2018-10-15,408716495.14,0.714,313800.0,226427.0,0.0768,0.7112,0.7524,0.737,-0.0249,-7.0212,21.25,False,True,-35.4335,4.0
13,2018-10-16,408716495.14,0.698,235600.0,165984.0,0.0576,0.6975,0.7443,0.7232,-0.0278,-8.409,16.0185,False,True,-36.6773,4.0
14,2018-10-17,408716495.14,0.7,203200.0,141545.0,0.0497,0.6979,0.7367,0.7116,-0.0295,-7.2745,15.8072,False,True,-36.6409,4.0
15,2018-10-18,408716495.14,0.676,149300.0,101819.0,0.0365,0.6698,0.7265,0.702,-0.0325,-9.3125,10.7869,False,True,-39.192,4.0
