1,670
2,670
3,626
4,596
5,373
6,373
7,373
8,373
9,373
10,373
11,543
12,312
13,486
14,529
15,331
16,331
17,523
18,439
19,452
20,429
21,414
22,305
23,373
24,378
25,373
26,373
27,328
28,228
29,218
30,218
31,184
32,116
33,150
34,218
35,218
36,179
37,146
38,146
39,59
40,427
41,137
42,47
43,47
44,21
45,171
46,375
47,321
48,252
49,206
50,146
51,146
52,84
53,670
54,670
55,670
56,670
57,670
58,670
59,670
60,670
61,670
62,670
63,670
64,670
65,670
66,670
67,670
68,626
69,670
70,670
71,670
72,670
73,670
74,670
75,670
76,670
77,670
78,670
79,670
80,670
81,670
82,670
83,670
84,670
85,670
86,670
87,670
88,670
89,670
90,670
91,670
92,670
93,670
94,670
95,670
96,670
97,670
98,670
99,670
100,670
101,670
102,670
103,670
104,670
105,670
106,670
107,670
108,670
109,670
110,670
111,670
112,670
113,670
114,670
115,670
116,670
117,670
118,670
119,670
120,670
121,132
122,140
123,670
124,670
125,670
126,670
127,670
128,670
129,670
130,670
131,670
132,79
133,670
134,670
135,670
136,670
137,670
138,149
139,485
140,670
141,670
142,670
143,670
144,331
145,212
146,60
147,82
148,83
149,466
150,62
151,393
152,470
153,243
154,297
155,454
156,457
157,340
158,670
159,670
160,616
161,670
162,515
163,670
164,670
165,663
166,468
167,450
168,659
169,131
170,634
171,439
172,670
173,670
174,473
175,670
176,670
177,59
178,443
179,670
180,82
181,68
182,223
183,670
184,670
185,64
186,670
187,670
188,670
189,670
190,25
191,30
192,239
193,670
194,670
195,69
196,258
197,264
198,254
199,367
200,670
201,670
202,670
203,500
204,458
205,266
206,6
207,65
208,260
209,490
210,500
211,344
212,145
213,670
214,670
215,391
216,670
217,670
218,670
219,670
220,64
221,670
222,670
