,day_old,day1,diff
143,95.01700000000001,95.18754577636719,0.17054577636717738
83,1.0170000000000001,1.0836769342422485,0.06667693424224841
108,2.908,2.967709541320801,0.05970954132080086
170,99.96700000000001,100.01164245605469,0.04464245605467454
99,1.433,1.4757429361343384,0.04274293613433833
124,1.301,1.3382165431976318,0.0372165431976319
132,1.915,1.9455512762069702,0.03055127620697018
167,99.992,100.01988983154297,0.027889831542964316
174,1.54,1.5598500967025757,0.019850096702575648
166,99.98899999999999,100.00772857666016,0.01872857666016614
97,2.5069999999999997,2.524777889251709,0.01777788925170931
76,0.9359999999999999,0.9536600708961487,0.01766007089614874
0,0.9520000000000001,0.9680075645446777,0.016007564544677666
150,99.98,99.99576568603516,0.01576568603515227
95,2.533,2.5484871864318848,0.015487186431884847
57,1.22,1.233559012413025,0.013559012413024929
135,2.0469999999999997,2.0590317249298096,0.012031724929809862
48,0.8440000000000001,0.8530054688453674,0.009005468845367348
153,99.883,99.89067840576172,0.007678405761723184
156,99.99,99.99757385253906,0.007573852539067616
70,0.88,0.8871607184410095,0.007160718441009517
47,1.063,1.0690103769302368,0.0060103769302368715
157,99.995,100.00096130371094,0.0059613037109329525
165,99.98899999999999,99.99361419677734,0.004614196777353641
6,0.991,0.9955721497535706,0.004572149753570565
16,1.28,1.2844648361206055,0.004464836120605442
105,0.509,0.5134437680244446,0.004443768024444572
177,0.589,0.593309223651886,0.004309223651886018
103,3.3310000000000004,3.335216522216797,0.00421652221679647
200,1.3559999999999999,1.3599733114242554,0.003973311424255499
93,0.9179999999999999,0.9219359755516052,0.0039359755516052974
7,1.013,1.0168381929397583,0.0038381929397584003
133,1.672,1.6757878065109253,0.0037878065109253622
1,0.992,0.9953876733779907,0.0033876733779907298
140,1.161,1.1642661094665527,0.0032661094665527024
98,1.675,1.6782461404800415,0.0032461404800414595
94,1.022,1.0250600576400757,0.003060057640075664
71,1.005,1.007869839668274,0.0028698396682740324
44,1.082,1.0847830772399902,0.0027830772399901615
24,0.575,0.5777361392974854,0.002736139297485396
18,1.073,1.075715184211731,0.002715184211731003
196,0.745,0.7476776242256165,0.0026776242256164595
204,0.9840000000000001,0.9865133166313171,0.002513316631317042
45,0.988,0.9902580976486206,0.002258097648620616
27,0.955,0.9572299718856812,0.0022299718856811923
178,1.369,1.3712153434753418,0.002215343475341802
131,4.745,4.747117519378662,0.002117519378662003
160,99.994,99.99595642089844,0.0019564208984377274
42,0.843,0.8449088931083679,0.0019088931083679483
169,99.995,99.99671936035156,0.0017193603515579525
158,99.994,99.99571228027344,0.0017122802734377274
39,1.119,1.1206954717636108,0.0016954717636108452
56,0.9470000000000001,0.9486867785453796,0.0016867785453795747
218,2.425,2.4263947010040283,0.001394701004028498
50,0.909,0.9102919697761536,0.0012919697761535343
9,0.8079999999999999,0.8091035485267639,0.0011035485267639755
73,0.835,0.8360411524772644,0.0010411524772644398
109,3.168,3.1690127849578857,0.001012784957885593
10,0.7879999999999999,0.7889305353164673,0.0009305353164673624
52,0.8140000000000001,0.8148789405822754,0.0008789405822753338
122,0.616,0.6168000102043152,0.0008000102043151935
43,0.963,0.9637978672981262,0.0007978672981262536
134,1.6540000000000001,1.654740571975708,0.000740571975707871
195,0.9590000000000001,0.9596877098083496,0.0006877098083495348
151,100.0,100.00067138671875,0.00067138671875
217,2.437,2.437551259994507,0.0005512599945070029
207,0.9520000000000001,0.9524732828140259,0.0004732828140258105
199,1.766,1.7664268016815186,0.0004268016815185405
33,0.873,0.8734050989151001,0.00040509891510009943
41,0.815,0.8152903914451599,0.0002903914451599654
80,0.856,0.8562779426574707,0.00027794265747072
30,0.8809999999999999,0.8812719583511353,0.0002719583511353596
171,99.993,99.99323272705078,0.00023272705078625222
164,99.99600000000001,99.9961929321289,0.00019293212889692768
21,1.012,1.0121700763702393,0.00017007637023924715
154,99.99600000000001,99.99614715576172,0.00014715576170942768
211,0.7290000000000001,0.7291077375411987,0.0001077375411986381
68,0.985,0.9850839376449585,8.393764495850942e-05
67,0.95,0.9500189423561096,1.894235610966355e-05
15,0.951,0.9510184526443481,1.8452644348188052e-05
91,1.01,1.0098477602005005,-0.0001522397994995206
14,0.6579999999999999,0.6578435301780701,-0.00015646982192984993
3,0.768,0.7678408026695251,-0.0001591973304748695
203,0.6629999999999999,0.662839412689209,-0.00016058731079093835
69,1.158,1.1578336954116821,-0.00016630458831778938
183,1.435,1.4348315000534058,-0.00016849994659429157
54,0.616,0.6157905459403992,-0.00020945405960082208
206,0.742,0.7417212128639221,-0.00027878713607787375
213,1.011,1.0105072259902954,-0.0004927740097044886
51,0.9279999999999999,0.9274413585662842,-0.0005586414337157564
113,0.982,0.981438934803009,-0.0005610651969909508
59,0.966,0.9652973413467407,-0.0007026586532592471
110,3.4730000000000003,3.472249746322632,-0.0007502536773684731
186,0.44799999999999995,0.44724830985069275,-0.0007516901493072048
187,0.638,0.6371527910232544,-0.000847208976745617
202,0.6759999999999999,0.6751400828361511,-0.0008599171638488112
22,0.774,0.7730936408042908,-0.0009063591957092498
77,1.141,1.1400551795959473,-0.0009448204040527486
214,1.157,1.1559884548187256,-0.0010115451812744425
12,0.7859999999999999,0.7849684357643127,-0.0010315642356871768
